ID,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target,,
5009050,Female,No,Yes,No,No,Yes,No,2,4,34,202500,30.10876336,6.267069139,Working,Higher education,Married,House / apartment,Core staff,No,,
5009056,Male,No,Yes,Yes,No,No,No,0,1,24,202500,24.26059399,2.433999329,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,No,,
5009058,Female,Yes,Yes,No,Yes,Yes,No,0,1,0,112500,20.50418558,2.182111885,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,No,,
5009060,Female,No,Yes,No,Yes,No,Yes,0,2,3,94500,61.14020137,0,Pensioner,Higher education,Married,House / apartment,Other,No,,
5009062,Male,Yes,Yes,No,No,No,No,0,2,45,315000,28.61112822,5.686632854,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,No,,
5009071,Female,Yes,Yes,No,Yes,Yes,No,0,2,20,270000,28.10187752,8.687378933,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff,No,,
5009074,Female,Yes,Yes,No,Yes,Yes,No,1,3,22,450000,48.53213961,1.938438161,State servant,Higher education,Married,House / apartment,Core staff,No,,
5009078,Male,No,Yes,No,No,No,No,1,3,30,180000,38.66472275,3.520948411,Working,Secondary / secondary special,Married,With parents,Drivers,No,,
5009079,Female,No,Yes,No,No,Yes,No,0,2,43,112500,27.55429612,8.687378933,Working,Higher education,Civil marriage,House / apartment,Laborers,No,,
5009083,Male,No,Yes,No,No,No,No,0,2,51,90000,56.21196876,15.68820715,Working,Secondary / secondary special,Married,House / apartment,Drivers,No,,
5009088,Male,Yes,No,No,No,No,No,2,4,46,202500,40.32937021,8.183604044,Commercial associate,Higher education,Married,House / apartment,Laborers,No,,
5009090,Male,Yes,Yes,No,No,No,No,0,2,13,247500,34.57428968,11.0200757,Working,Secondary / secondary special,Married,House / apartment,Drivers,No,,
5009092,Male,Yes,Yes,Yes,No,No,No,1,3,3,765000,33.39425176,3.269060966,Working,Higher education,Married,House / apartment,Managers,Yes,,
5009096,Female,No,Yes,No,No,Yes,No,1,3,24,270000,37.45182995,12.02214967,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,No,,
5009099,Female,No,Yes,No,No,No,No,0,1,56,315000,36.33476389,1.519538389,Working,Higher education,Separated,House / apartment,Managers,No,,
5009103,Male,Yes,Yes,No,Yes,No,No,2,4,38,157500,35.2067462,11.10495082,Working,Secondary / secondary special,Married,With parents,Drivers,No,,
5009108,Male,No,Yes,No,No,No,No,0,2,7,360000,41.94747325,7.521030548,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,No,,
5009110,Female,No,Yes,No,No,Yes,No,0,2,3,112500,24.20857376,0.854226986,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,Yes,,
5009116,Female,No,No,No,No,No,No,0,1,35,157500,43.08644257,1.182775827,Commercial associate,Higher education,Separated,With parents,Other,No,,
5009133,Male,No,Yes,No,No,No,Yes,0,1,16,382500,59.33865856,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,No,,
5009141,Female,No,No,Yes,Yes,No,No,0,2,33,135000,26.43996797,4.271134931,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,No,,
5009143,Male,Yes,No,No,No,No,Yes,0,2,11,225000,50.07358125,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,Yes,,
5009145,Male,Yes,No,Yes,Yes,No,No,0,2,36,315000,43.32737839,10.18501407,Working,Higher education,Married,House / apartment,Managers,No,,
5009151,Female,No,No,No,No,No,No,0,2,29,180000,53.59452966,7.942668227,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009163,Female,No,No,No,Yes,No,No,0,2,12,157500,35.360069,8.69011684,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009170,Female,Yes,No,No,Yes,Yes,Yes,0,2,30,144000,62.6350986,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009177,Male,Yes,No,No,No,No,No,0,2,49,229500,50.1721459,3.438811201,Working,Incomplete higher,Married,Co-op apartment,Laborers,Yes,,
5009186,Female,No,No,Yes,Yes,No,No,0,2,3,270000,48.11323983,15.85795738,Working,Higher education,Married,House / apartment,Managers,Yes,,
5009195,Female,No,No,Yes,Yes,No,No,0,2,21,292500,57.36736552,23.77598445,State servant,Secondary / secondary special,Married,House / apartment,Accountants,No,,
5009213,Female,No,No,Yes,Yes,No,No,0,2,22,270000,33.76660712,2.354600026,Working,Higher education,Married,House / apartment,Accountants,No,,
5009220,Female,Yes,No,Yes,No,No,No,0,2,27,225000,40.15688207,2.184849792,Working,Secondary / secondary special,Married,House / apartment,Managers,No,,
5009238,Male,Yes,No,No,Yes,No,No,0,2,24,157500,29.05193125,2.688624681,Working,Incomplete higher,Married,With parents,Drivers,No,,
5009242,Female,No,No,No,Yes,No,No,0,1,34,74250,52.24474151,14.35484644,Working,Higher education,Separated,Municipal apartment,Core staff,No,,
5009246,Female,No,No,No,Yes,No,No,0,2,31,135000,38.88101741,5.856383088,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,No,,
5009249,Male,Yes,No,Yes,No,No,No,1,3,26,135000,27.26134007,2.521612353,Working,Secondary / secondary special,Married,House / apartment,Drivers,No,,
5009255,Female,No,No,No,No,No,No,0,1,6,144000,43.7243749,24.60557027,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,No,,
5009260,Female,No,No,No,Yes,No,No,0,2,19,202500,39.86940184,3.523686318,State servant,Higher education,Married,With parents,Core staff,No,,
5009264,Female,No,No,No,No,No,Yes,0,1,21,40500,57.74519668,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,Yes,,
5009265,Male,Yes,No,Yes,Yes,No,No,0,2,47,337500,28.10735333,4.523022376,State servant,Higher education,Married,With parents,Managers,No,,
5009270,Male,No,No,No,Yes,No,No,0,2,28,180000,40.46900347,6.688706818,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,No,,
5009278,Female,No,No,No,Yes,No,No,0,2,20,130500,41.45191209,13.18576015,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,No,,
5009295,Female,No,No,No,Yes,No,Yes,0,2,33,144000,57.60830133,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009297,Female,No,No,No,Yes,No,No,0,1,22,193500,44.07756491,5.108934475,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,Yes,,
5009302,Female,No,No,No,No,No,Yes,0,1,25,112500,60.40096648,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,No,,
5009306,Female,Yes,No,No,Yes,Yes,Yes,0,2,60,135000,55.14144712,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009325,Male,Yes,No,No,Yes,No,No,0,2,16,267750,57.47140598,12.94208642,Working,Higher education,Married,House / apartment,Laborers,No,,
5009335,Female,No,No,No,No,No,No,0,1,9,139500,44.36230723,19.43913975,Working,Higher education,Separated,House / apartment,Managers,No,,
5009338,Male,No,No,Yes,Yes,No,No,0,2,12,67500,51.12767545,14.52185877,Working,Secondary / secondary special,Married,House / apartment,Security staff,No,,
5009340,Male,Yes,No,No,No,No,No,0,2,57,252000,29.43250033,6.688706818,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,No,,
5009349,Male,No,No,No,Yes,No,No,0,2,30,180000,57.92042273,0.355927911,Commercial associate,Lower secondary,Married,House / apartment,Drivers,No,,
5009355,Female,No,No,Yes,Yes,No,No,0,2,25,135000,53.91486478,14.43698365,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009359,Female,Yes,No,No,No,No,No,0,1,15,900000,52.19272127,20.27146348,Working,Higher education,Single / not married,House / apartment,Managers,Yes,,
5009361,Male,Yes,No,Yes,No,No,No,0,2,47,180000,40.70446347,1.604413506,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,No,,
5009368,Male,Yes,No,No,Yes,Yes,Yes,0,2,40,115290,63.48384977,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009378,Female,No,No,Yes,No,Yes,No,2,4,39,225000,30.88632895,4.77490982,Working,Higher education,Married,House / apartment,Core staff,No,,
5009379,Male,Yes,No,Yes,No,No,No,1,3,32,135000,25.81846308,3.271798873,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009383,Female,No,No,No,Yes,No,No,0,2,30,450000,40.29651533,15.27204528,State servant,Higher education,Married,House / apartment,Managers,No,,
5009389,Male,No,No,No,No,No,No,0,1,21,279000,30.23196917,8.69011684,State servant,Higher education,Single / not married,House / apartment,Core staff,Yes,,
5009396,Female,No,No,Yes,No,No,No,1,3,55,76500,34.24026503,1.355263968,Working,Higher education,Civil marriage,House / apartment,Accountants,No,,
5009402,Male,No,No,Yes,Yes,No,No,0,2,7,202500,56.41183597,0.689952566,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,No,,
5009404,Female,No,No,No,Yes,No,No,2,4,7,67500,28.28531729,1.185513734,Commercial associate,Higher education,Married,House / apartment,Core staff,No,,
5009405,Male,No,No,Yes,Yes,No,No,0,2,20,234000,38.11987926,6.269807046,Working,Incomplete higher,Married,House / apartment,Drivers,No,,
5009415,Female,No,No,Yes,Yes,No,No,0,1,7,90000,52.85255686,1.270388851,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,Yes,,
5009423,Female,No,No,No,No,No,No,0,2,9,81000,53.57810222,2.773499798,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,No,,
5009424,Male,No,No,Yes,No,No,No,0,1,38,108000,22.40155513,3.605823528,Working,Secondary / secondary special,Single / not married,Co-op apartment,Cooking staff,Yes,,
5009426,Male,No,No,No,No,No,Yes,0,2,10,99000,54.60481735,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009428,Male,No,No,Yes,No,No,No,0,1,14,198000,23.70206096,3.186923756,Working,Secondary / secondary special,Single / not married,With parents,Laborers,No,,
5009431,Male,Yes,No,Yes,Yes,No,No,0,2,13,360000,40.61685045,3.271798873,State servant,Higher education,Married,Municipal apartment,Drivers,No,,
5009435,Female,No,No,No,Yes,No,Yes,0,2,23,135000,54.59386572,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009436,Female,No,No,No,No,No,Yes,0,2,3,76500,64.28605652,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009441,Female,No,No,No,Yes,No,No,0,2,7,90000,25.97999959,4.605159586,State servant,Secondary / secondary special,Married,House / apartment,Other,No,,
5009445,Female,Yes,No,Yes,No,No,No,0,2,16,270000,37.93370158,2.023313278,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Other,Yes,,
5009447,Male,Yes,No,Yes,No,No,No,0,2,7,81000,39.52168765,9.270553126,Working,Secondary / secondary special,Married,With parents,Drivers,No,,
5009450,Female,No,No,No,Yes,No,No,0,2,31,202500,47.29460564,3.690698645,State servant,Higher education,Married,House / apartment,Laborers,No,,
5009459,Female,No,No,Yes,Yes,No,No,0,2,28,157500,53.94224385,27.02314216,Working,Secondary / secondary special,Married,House / apartment,Other,No,,
5009473,Female,No,No,No,Yes,No,No,0,2,54,180000,36.25262668,12.18642409,Commercial associate,Higher education,Married,House / apartment,Other,No,,
5009484,Female,No,No,No,No,No,No,0,2,54,135000,33.21081199,2.184849792,Working,Secondary / secondary special,Married,Municipal apartment,Cooking staff,No,,
5009487,Female,No,No,No,No,No,No,2,4,58,135000,26.65626262,7.85779311,Working,Secondary / secondary special,Married,House / apartment,Other,No,,
5009490,Male,Yes,No,Yes,Yes,No,No,0,2,39,135000,44.34314189,17.02430577,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009493,Male,Yes,No,Yes,No,Yes,No,0,2,46,270000,32.04993942,3.186923756,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,No,,
5009507,Female,No,No,No,Yes,No,No,0,2,11,202500,44.08030281,13.52252271,Working,Higher education,Married,House / apartment,Core staff,No,,
5009512,Female,No,No,No,No,No,No,0,2,22,157500,46.23777353,7.356756128,Working,Incomplete higher,Married,House / apartment,Core staff,No,,
5009518,Male,Yes,No,Yes,No,No,No,2,4,3,180000,34.12253503,5.941258205,Working,Incomplete higher,Married,House / apartment,Laborers,No,,
5009523,Male,Yes,No,Yes,No,No,No,1,2,10,112500,32.84940827,3.107524453,Working,Secondary / secondary special,Separated,Co-op apartment,Laborers,No,,
5009526,Female,Yes,No,No,Yes,No,No,0,2,16,157500,37.20815622,2.688624681,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,No,,
5009536,Male,Yes,No,Yes,No,No,No,0,2,15,216000,42.31435279,2.436737236,Working,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009537,Female,Yes,No,Yes,Yes,No,No,0,2,56,202500,42.5114821,4.77490982,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009543,Female,No,No,No,No,No,No,0,2,59,198000,51.50824452,26.6891175,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,No,,
5009562,Female,No,No,No,Yes,No,Yes,0,1,33,157500,55.58498806,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,No,,
5009565,Male,Yes,No,Yes,Yes,No,No,0,2,39,180000,41.48750488,8.605241723,Working,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009575,Female,Yes,No,No,No,No,No,0,2,23,315000,46.74702424,2.184849792,Working,Secondary / secondary special,Married,House / apartment,Accountants,No,,
5009577,Female,No,No,No,No,No,Yes,0,2,23,112500,58.36122576,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009582,Female,No,No,No,No,No,No,0,1,40,90000,31.98422966,1.856300951,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,Yes,,
5009585,Female,No,No,No,Yes,No,No,0,1,30,45000,39.35467532,2.184849792,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,No,,
5009590,Female,Yes,No,No,Yes,No,No,0,2,7,225000,23.23935468,5.024059358,Working,Secondary / secondary special,Married,House / apartment,Other,No,,
5009592,Female,No,No,No,Yes,No,Yes,0,1,17,112500,64.42842769,0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,Other,No,,
5009593,Female,Yes,No,Yes,Yes,No,No,0,2,21,144000,47.5930375,2.436737236,Working,Secondary / secondary special,Married,House / apartment,Core staff,No,,
5009602,Female,Yes,No,Yes,Yes,No,No,0,2,42,315000,36.83853878,7.523768455,Commercial associate,Higher education,Married,House / apartment,Sales staff,No,,
5009603,Female,No,No,Yes,No,No,No,1,3,37,112500,35.24233899,10.18501407,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009607,Female,No,No,Yes,Yes,No,No,2,4,23,144000,33.61328432,2.688624681,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,No,,
5009617,Male,Yes,No,No,No,No,Yes,0,2,55,225000,47.54923099,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009620,Male,Yes,No,Yes,No,No,No,0,2,41,135000,52.17355593,0.271052794,Working,Secondary / secondary special,Married,House / apartment,Drivers,No,,
5009625,Female,No,No,Yes,No,No,No,0,2,41,238500,52.85529477,9.024141495,Working,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009631,Female,No,No,No,Yes,No,No,0,2,27,112500,27.0779003,5.604495643,Working,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009633,Male,Yes,No,Yes,No,No,No,1,3,23,144000,27.51322751,0.774827683,Working,Incomplete higher,Married,House / apartment,Drivers,No,,
5009636,Female,No,No,No,Yes,No,Yes,0,2,13,90000,58.66239553,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009642,Male,No,No,Yes,No,No,No,0,1,1,202500,23.24209258,2.521612353,Commercial associate,Secondary / secondary special,Single / not married,With parents,Other,No,,
5009646,Male,No,No,Yes,No,No,No,0,1,15,117000,40.21711603,10.02347755,Working,Secondary / secondary special,Single / not married,House / apartment,Low-skill Laborers,No,,
5009651,Female,No,No,No,Yes,No,No,0,2,60,135000,51.06196568,29.94175103,State servant,Secondary / secondary special,Married,House / apartment,Other,No,,
5009660,Male,No,No,Yes,No,No,No,0,1,40,225000,27.83356263,4.85704703,Working,Higher education,Single / not married,House / apartment,Other,No,,
5009664,Female,No,No,No,No,No,Yes,0,1,27,126000,52.54317337,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,Yes,,
5009671,Female,No,No,Yes,No,No,No,0,2,8,135000,43.27262025,1.185513734,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Core staff,No,,
5009673,Female,No,No,No,Yes,No,Yes,0,1,30,90000,59.37972717,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,No,,
5009689,Female,No,No,No,Yes,No,Yes,0,1,43,153000,63.79049536,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,No,,
5009694,Male,Yes,No,No,Yes,Yes,No,0,2,45,1350000,35.59005318,4.271134931,Commercial associate,Higher education,Married,Municipal apartment,Managers,Yes,,
5009701,Female,No,No,No,No,No,Yes,0,2,3,139500,57.12095389,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,No,,
5009706,Female,No,No,No,No,No,No,0,2,4,157500,31.88018919,0.94184001,Working,Higher education,Married,House / apartment,Managers,No,,
5009711,Female,Yes,No,Yes,Yes,No,No,0,2,4,135000,30.39624359,1.185513734,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,No,,
5009713,Male,No,No,Yes,Yes,No,No,0,1,38,180000,25.68156773,4.690034703,Working,Secondary / secondary special,Single / not married,House / apartment,Other,Yes,,
5009719,Female,No,No,Yes,Yes,No,No,0,1,23,225000,52.88541175,12.18642409,Working,Secondary / secondary special,Single / not married,House / apartment,Other,No,,
5009724,Female,No,No,No,Yes,No,No,0,2,41,135000,27.06968658,6.773581935,Working,Higher education,Married,House / apartment,Sales staff,No,,
5009729,Male,Yes,No,Yes,No,No,No,0,2,4,292500,36.08013854,3.605823528,Working,Secondary / secondary special,Married,House / apartment,Laborers,No,,
5009732,Female,Yes,No,Yes,Yes,No,No,0,2,49,270000,52.95385942,20.02505185,Commercial associate,Higher education,Married,House / apartment,Managers,No,,
5009736,Female,Yes,No,Yes,Yes,No,No,0,2,34,99000,40.129503,12.02488757,Working,Secondary / secondary special,Married,House / apartment,Core staff,No,,
5009742,Female,No,No,Yes,Yes,No,No,0,2,14,135000,33.75291758,6.773581935,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009745,Female,Yes,No,Yes,Yes,No,No,0,2,46,315000,37.11780529,1.604413506,Commercial associate,Higher education,Married,House / apartment,Other,Yes,,
5009757,Male,Yes,No,No,No,No,No,0,1,26,270000,24.87936097,4.605159586,Working,Higher education,Single / not married,House / apartment,Laborers,No,,
5009762,Male,No,No,No,No,No,No,0,1,16,135000,38.65377112,8.69011684,Working,Secondary / secondary special,Separated,House / apartment,Laborers,No,,
5009783,Male,Yes,No,Yes,No,No,No,2,4,28,445500,40.81124185,18.68895323,State servant,Higher education,Married,Municipal apartment,Core staff,No,,
5009785,Female,No,No,No,Yes,No,Yes,0,1,6,198000,60.23942997,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,No,,
5009799,Female,Yes,No,Yes,Yes,No,No,0,2,57,382500,42.25959465,10.85580128,Working,Higher education,Married,House / apartment,Other,No,,
5009805,Female,No,No,Yes,Yes,No,No,1,3,9,202500,32.34289547,8.942004285,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009819,Female,Yes,No,No,Yes,No,No,0,2,8,99000,40.74826999,14.94075854,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,No,,
5009826,Female,No,No,Yes,No,No,No,0,2,25,112500,43.14667652,1.023977221,Working,Secondary / secondary special,Married,House / apartment,Sales staff,No,,
5009831,Male,Yes,No,Yes,No,No,No,0,2,19,166500,28.57005962,4.690034703,Working,Higher education,Married,With parents,Core staff,No,,
5009837,Female,No,No,No,No,No,No,0,2,43,135000,35.92133993,15.27204528,State servant,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,No,,
5009839,Male,Yes,No,No,No,No,No,0,2,33,202500,34.59619294,1.108852338,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,No,,
5009843,Female,No,No,No,No,No,No,0,1,38,81000,49.09614845,4.0247233,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,Yes,,
5009844,Male,Yes,No,Yes,No,No,No,0,2,13,180000,43.53545932,0.355927911,Working,Secondary / secondary special,Married,House / apartment,Security staff,No,,
5009846,Male,No,No,No,Yes,No,No,0,2,34,225000,33.62697386,1.108852338,Commercial associate,Higher education,Civil marriage,House / apartment,Managers,No,,
5009847,Female,No,No,No,No,No,No,0,2,31,99000,27.60905426,1.856300951,Commercial associate,Higher education,Married,House / apartment,Sales staff,No,,
5009850,Male,Yes,No,Yes,Yes,No,No,0,1,37,360000,28.1347324,1.522276296,Commercial associate,Secondary / secondary special,Separated,With parents,Drivers,No,,
5009864,Male,Yes,No,Yes,No,No,No,0,2,41,225000,39.85023649,3.356673991,Working,Higher education,Civil marriage,Rented apartment,Managers,No,,
5009872,Male,Yes,No,Yes,No,No,No,2,4,38,427500,41.46286371,17.52260484,Commercial associate,Higher education,Married,House / apartment,Managers,No,,
5009877,Female,No,Yes,Yes,Yes,No,No,2,4,7,157500,42.4348207,3.523686318,State servant,Higher education,Married,House / apartment,Core staff,No,,
5009879,Female,No,Yes,Yes,No,No,No,2,4,3,144000,26.93826704,5.024059358,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,No,,
5009880,Female,No,Yes,No,Yes,No,Yes,0,2,14,157500,59.2346181,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,No,,
